group,variable,value
A,v10,18
A,v1,27
A,v2,48
A,v3,22
A,v4,28
A,v5,28
A,v7,21
A,v6,24
B,v10,27
B,v8,16
B,v9,28
B,v2,34
B,v1,25
B,v3,32
B,v5,24
B,v4,45
B,v6,22
B,v7,28
B,v9,19
B,v8,23
C,v10,20
C,v1,26
C,v3,33
C,v2,30
C,v4,26
C,v5,27
C,v7,29
C,v9,38
C,v8,45
D,v10,38
D,v6,32
D,v2,40
D,v1,97
D,v3,17
D,v5,21
D,v8,30
D,v6,31
D,v4,31
E,v10,26
E,v7,22
E,v1,39
E,v9,32
E,v3,29
E,v4,40
E,v2,49
E,v6,21
E,v5,48
E,v8,35
E,v9,31
E,v7,24
F,v10,20
F,v1,23
F,v2,23
F,v4,35
F,v3,26
F,v6,30
F,v5,45
F,v8,30
F,v9,49
F,v1,19
F,v7,29
G,v10,20
G,v2,26
G,v4,34
G,v5,16
G,v6,39
G,v7,34
G,v8,53
G,v9,30
H,v10,13
H,v3,25
H,v1,31
H,v3,15
H,v4,26
H,v2,37
H,v6,63
H,v7,46
H,v5,26
I,v10,32
I,v8,42
I,v1,34
I,v9,23
I,v2,32
I,v3,26
I,v4,28
I,v5,29
I,v6,23
I,v7,23
I,v8,28
J,v10,46
J,v9,21
J,v3,41
J,v2,77
J,v1,27
J,v4,44
